id,name,year,headSize,strungWeight,balance,balancePts,swingweight,stiffness,beamWidth,pattern,tensionRange,powerLevel,strokeStyle,swingSpeed,frameProfile,identity,notes
babolat-play-pure-drive,Babolat Play Pure Drive,,100,318,33,4 pts HL,315,74,"23,26,23",16x19,"50,59",Medium-High,Medium,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Standard,TWU: twistweight=15.2 vibration=167Hz power=40% sweetzone=16sqin
babolat-pure-aero,Babolat Pure Aero,,100,322,33.5,2 pts HL,328,70,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",Standard,TWU: twistweight=15 vibration=148Hz power=42% sweetzone=17sqin
babolat-pure-aero-2019,Babolat Pure Aero (2019),2019,100,318,33,4 pts HL,324,67,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",Standard,TWU: twistweight=15.4 vibration=143Hz power=41% sweetzone=17sqin
babolat-pure-aero-2023,Babolat Pure Aero 2023,2023,100,318,33,4 pts HL,322,65,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",Standard,TWU: twistweight=14.6 vibration=141Hz power=41% sweetzone=17sqin
babolat-pure-aero-2026,Babolat Pure Aero 2026,2026,100,318,33,4 pts HL,320,66,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",Standard,TWU: twistweight=15.2 vibration=133Hz power=41% sweetzone=17sqin
babolat-pure-aero-98-2023,Babolat Pure Aero 98 2023,2023,98,323,32.5,6 pts HL,327,65,"21,23,22",16x20,"46,55",Low-Medium,Full,Fast,"21/23/22mm beam, 16x20 pattern",Standard,TWU: twistweight=15.4 vibration=148Hz power=42% sweetzone=17sqin
babolat-pure-aero-98-2026,Babolat Pure Aero 98 2026,2026,98,323,32.5,6 pts HL,322,66,"21,23,22",16x20,"46,55",Low-Medium,Full,Fast,"21/23/22mm beam, 16x20 pattern",Standard,TWU: twistweight=15.3 vibration=145Hz power=41% sweetzone=17sqin
babolat-pure-aero-lite,Babolat Pure Aero Lite,,100,289,34.4,Even,308,70,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",Lightweight,TWU: twistweight=14.3 vibration=158Hz power=40% sweetzone=15sqin
babolat-pure-aero-lite-2019,Babolat Pure Aero Lite (2019),2019,100,286,34.3,Even,311,68,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",Lightweight,TWU: twistweight=14.8 vibration=148Hz power=40% sweetzone=16sqin
babolat-pure-aero-lite-2023,Babolat Pure Aero Lite 2023,2023,100,283,34,1 pts HL,304,65,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",Lightweight,TWU: twistweight=14.5 vibration=150Hz power=39% sweetzone=14sqin
babolat-pure-aero-lite-2026,Babolat Pure Aero Lite 2026,2026,100,283,33.5,2 pts HL,302,65,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",Lightweight,TWU: twistweight=13.9 vibration=164Hz power=39% sweetzone=14sqin
babolat-pure-aero-plus,Babolat Pure Aero Plus,,100,321,33.4,5 pts HL,331,69,"23,26,23",16x19,"48,57",Medium-High,Medium,Medium,"23/26/23mm beam, 16x19 pattern",Lightweight,TWU: twistweight=14.4 vibration=154Hz power=42% sweetzone=17sqin length=27.5in
babolat-pure-aero-plus-2019,Babolat Pure Aero Plus (2019),2019,100,320,33,6 pts HL,330,68,"23,26,23",16x19,"48,57",Medium-High,Medium,Medium,"23/26/23mm beam, 16x19 pattern",Power,TWU: twistweight=14.3 vibration=156Hz power=42% sweetzone=17sqin length=27.5in
babolat-pure-aero-plus-2023,Babolat Pure Aero Plus 2023,2023,100,320,33,6 pts HL,334,65,"23,26,23",16x19,"48,57",Medium-High,Medium,Medium,"23/26/23mm beam, 16x19 pattern",Power,TWU: twistweight=14.7 vibration=143Hz power=42% sweetzone=17sqin length=27.5in
babolat-pure-aero-plus-2026,Babolat Pure Aero Plus 2026,2026,100,320,33,6 pts HL,330,65,"23,26,23",16x19,"48,57",Medium-High,Medium,Medium,"23/26/23mm beam, 16x19 pattern",Power,TWU: twistweight=14.5 vibration=145Hz power=42% sweetzone=17sqin length=27.5in
babolat-pure-aero-super-lite-2026,Babolat Pure Aero Super Lite 2026,2026,100,269,33.5,2 pts HL,273,64,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",Lightweight,TWU: twistweight=12.9 vibration=157Hz power=35% sweetzone=9sqin
babolat-pure-aero-team,Babolat Pure Aero Team,,100,303,33.4,3 pts HL,309,69,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",All-Rounder,TWU: twistweight=14.6 vibration=158Hz power=40% sweetzone=15sqin
babolat-pure-aero-team-2019,Babolat Pure Aero Team (2019),2019,100,301,33,4 pts HL,307,69,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",All-Rounder,TWU: twistweight=14.6 vibration=162Hz power=40% sweetzone=15sqin
babolat-pure-aero-team-2023,Babolat Pure Aero Team 2023,2023,100,301,32.6,5 pts HL,302,67,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",All-Rounder,TWU: twistweight=14.3 vibration=158Hz power=39% sweetzone=14sqin
babolat-pure-aero-team-2026,Babolat Pure Aero Team 2026,2026,100,301,33,4 pts HL,306,66,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",All-Rounder,TWU: twistweight=15.1 vibration=145Hz power=39% sweetzone=15sqin
babolat-pure-aero-tour,Babolat Pure Aero Tour,,100,341,32.6,5 pts HL,332,68,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",Control,TWU: twistweight=15.6 vibration=147Hz power=42% sweetzone=18sqin
babolat-pure-aero-tour-2019,Babolat Pure Aero Tour (2019),2019,100,335,32.3,6 pts HL,327,68,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",Control,TWU: twistweight=15.1 vibration=155Hz power=42% sweetzone=17sqin
babolat-pure-aero-vs,Babolat Pure Aero VS,,98,320,32.4,6 pts HL,321,67,"21,23,22",16x20,"46,55",Low-Medium,Full,Fast,"21/23/22mm beam, 16x20 pattern",Lightweight,TWU: twistweight=14.6 vibration=154Hz power=41% sweetzone=16sqin
babolat-pure-aero-vs-stars-and-stripes,Babolat Pure Aero VS Stars and Stripes,,98,314,33.3,3 pts HL,317,67,"21,23,22",16x20,"46,55",Low-Medium,Full,Fast,"21/23/22mm beam, 16x20 pattern",Lightweight,TWU: twistweight=14 vibration=151Hz power=40% sweetzone=16sqin
babolat-pure-aero-vs-tour,Babolat Pure Aero VS Tour,,98,348,32.3,6 pts HL,332,70,"21,23,22",16x20,"46,55",Low-Medium,Full,Fast,"21/23/22mm beam, 16x20 pattern",Control,TWU: twistweight=14.8 vibration=149Hz power=42% sweetzone=17sqin
babolat-pure-drive-2012,Babolat Pure Drive (2012),2012,100,314,32.9,4 pts HL,309,73,"23,26,23",16x19,"50,59",Medium-High,Medium,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Standard,TWU: twistweight=14.2 vibration=170Hz power=40% sweetzone=15sqin
babolat-pure-drive-2021,Babolat Pure Drive (2021),2021,100,318,33,4 pts HL,320,71,"23,26,23",16x19,"50,59",Medium-High,Medium,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Standard,TWU: twistweight=15.6 vibration=161Hz power=41% sweetzone=17sqin
babolat-pure-drive-107,Babolat Pure Drive 107,,107,297,34.5,1 pts HH,312,70,"23,26,23",16x19,"50,59",Medium-High,Medium,Medium,"23/26/23mm beam, 16x19 pattern",Standard,TWU: twistweight=14.9 vibration=164Hz power=40% sweetzone=16sqin
