id,name,year,headSize,strungWeight,balance,balancePts,swingweight,stiffness,beamWidth,pattern,tensionRange,powerLevel,strokeStyle,swingSpeed,frameProfile,identity,notes
adidas-barricade,Adidas Barricade,,95,317,33.4,3 pts HL,321,61,"23,26,23",16x19,"50,60",Medium,Medium-Full,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Standard,TWU: twistweight=13.9 vibration=138Hz power=40% sweetzone=15sqin
adidas-barricade-tour,Adidas Barricade Tour,,95,346,31.8,8 pts HL,335,64,"23,26,23",16x19,"50,60",Medium,Medium-Full,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Control,TWU: twistweight=13.5 vibration=145Hz power=41% sweetzone=17sqin
adidas-feather,Adidas Feather,,105,270,35.5,3 pts HH,303,59,"23,26,23",16x19,"50,60",Medium,Medium-Full,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Standard,TWU: twistweight=13.6 vibration=134Hz power=38% sweetzone=13sqin length=27.2in
adidas-response,Adidas Response,,100,294,34.1,1 pts HL,316,64,"23,26,23",16x19,"50,60",Medium,Medium-Full,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Standard,TWU: twistweight=12 vibration=145Hz power=40% sweetzone=15sqin
asics-asics-109,Asics Asics 109,,109,292,34.9,1 pts HH,313,76,"23,26,23",16x19,"50,60",Medium,Medium-Full,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Standard,TWU: twistweight=15.3 vibration=180Hz power=40% sweetzone=16sqin length=27.25in
asics-asics-116,Asics Asics 116,,116,269,35.2,2 pts HH,288,74,"23,26,23",16x19,"50,60",Medium,Medium-Full,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Standard,TWU: twistweight=15.3 vibration=182Hz power=37% sweetzone=12sqin length=27.25in
asics-asics-125,Asics Asics 125,,125,272,36.1,4 pts HH,308,75,"23,26,23",16x19,"50,60",Medium,Medium-Full,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Standard,TWU: twistweight=17.7 vibration=188Hz power=40% sweetzone=17sqin length=27.5in
asics-bz-100,Asics BZ 100,,100,326,33,4 pts HL,303,75,"23,26,23",16x19,"50,60",Medium,Medium-Full,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Standard,TWU: twistweight=15.5 vibration=176Hz power=39% sweetzone=14sqin
avery-m3-control,Avery M3 Control,,95,342,30.5,12 pts HL,300,60,"23,26,23",16x19,"50,60",Medium,Medium-Full,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Standard,TWU: twistweight=11.8 vibration=136Hz power=37% sweetzone=11sqin
avery-m3-power,Avery M3 Power,,95,352,32.1,7 pts HL,327,65,"23,26,23",16x19,"50,60",Medium,Medium-Full,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Standard,TWU: twistweight=12.3 vibration=148Hz power=41% sweetzone=16sqin
avery-m5,Avery M5,,110,351,31.1,10 pts HL,326,60,"23,26,23",16x19,"50,60",Medium,Medium-Full,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Standard,TWU: twistweight=16.6 vibration=136Hz power=40% sweetzone=16sqin
babolat-aero-112,Babolat Aero 112,,112,286,36.5,5 pts HH,328,64,"23,26,23",16x19,"48,57",Medium-High,Medium,Medium,"23/26/23mm beam, 16x19 pattern",Standard,TWU: twistweight=17.2 vibration=145Hz power=40% sweetzone=16sqin length=27.5in
babolat-aero-blast,Babolat Aero Blast,,112,298,37.1,7 pts HH,350,61,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",Standard,TWU: twistweight=17.4 vibration=138Hz power=43% sweetzone=20sqin length=27.5in
babolat-aero-storm,Babolat Aero Storm,,98,332,31.1,10 pts HL,324,65,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",Standard,TWU: twistweight=12.9 vibration=148Hz power=40% sweetzone=15sqin
babolat-aero-storm-gt,Babolat Aero Storm GT,,98,320,33.5,2 pts HL,332,71,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",Standard,TWU: twistweight=12.3 vibration=155Hz power=41% sweetzone=16sqin
babolat-aero-storm-tour-gt,Babolat Aero Storm Tour GT,,98,333,32.5,6 pts HL,324,69,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",Control,TWU: twistweight=12.2 vibration=153Hz power=40% sweetzone=15sqin
babolat-aero-tour-mp,Babolat Aero Tour MP,,97,328,32.7,5 pts HL,313,73,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",Control,TWU: twistweight=14 vibration=166Hz power=39% sweetzone=14sqin
babolat-aero-tour-os,Babolat Aero Tour OS,,107,314,32.7,6 pts HL,313,70,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",Control,TWU: twistweight=18.3 vibration=159Hz power=39% sweetzone=15sqin length=27.3in
babolat-aeropro-control-plus,Babolat AeroPro Control Plus,,100,334,32.4,8 pts HL,335,70,"23,26,23",16x19,"48,57",Medium-High,Medium,Medium,"23/26/23mm beam, 16x19 pattern",Control,TWU: twistweight=12.9 vibration=159Hz power=41% sweetzone=17sqin length=27.5in
babolat-aeropro-drive-2013,Babolat AeroPro Drive 2013,2013,100,316,32.7,5 pts HL,306,69,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",Control,TWU: twistweight=14.1 vibration=155Hz power=39% sweetzone=14sqin
babolat-aeropro-drive-cortex,Babolat AeroPro Drive Cortex,,100,315,33,4 pts HL,328,67,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",Control,TWU: twistweight=12.7 vibration=152Hz power=40% sweetzone=15sqin
babolat-aeropro-drive-gt,Babolat AeroPro Drive GT,,100,310,33,4 pts HL,316,70,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",Control,TWU: twistweight=14.1 vibration=160Hz power=39% sweetzone=14sqin
